@@,name,partylabel,item
---,Abel Epalanga Chivukuvuku,,Q2821497
+++,Abílio José Augusto Kamalata Numa,UNITA,
+++,Adelino Marques de Almeida,MPLA,
+++,Adriana Sofia Cacuassa Bento,MPLA,
+++,Adriano Botelho de Vasconcelos,MPLA,
+++,Adriano Mendes de Carvalho,MPLA,
+++,Adão Cristóvão Neto,MPLA,
+++,Adélia Maria Pires da Conceição de Carvalho,MPLA,
+++,Afonso Domingos Pedro Van-Dúnem,MPLA,
+++,Afonso Maria Vaba,MPLA,
+++,Agostinho Ndjaka,MPLA,
+++,Albertina Cungingomoco Muxindo,MPLA,
+++,Albertina Teresa José,MPLA,
+++,Alda Juliana Paulo Sachiambo,UNITA,
+++,Alfredo Berner,MPLA,
+++,Alfredo Furtado de Azevedo Júnior,MPLA,
+++,Alice Paulina Dombolo Chivaca,MPLA,
+++,Almerindo Jaka Jamba,UNITA,
+++,Amaro Cacoma da Silva,MPLA,
+++,Ana Afonso Dias Lourenço,MPLA,
+++,Ana Maravilha Borges Alé Fernandes,MPLA,
+++,Ana Maria Manuel João Taveira,MPLA,
+++,Ana Maria da Silva Sousa e Silva,MPLA,
+++,Ana Maria de Oliveira,MPLA,
+++,Ana Paula Cristóvão de Lemos dos Santos,MPLA,
+++,Ana Paula Inês Luís Ndala Fernando,MPLA,
+++,Anabela Manuel dos Santos Alberto,MPLA,
+++,Anabela Trindade Jordão da Silva,MPLA,
+++,Anabela da Graça Alexandre Leitão,MPLA,
+++,António Daniel Ventura de Azevedo ,MPLA,
+++,António Domingos Pitra da Costa Neto,MPLA,
+++,António Francisco Cortez,MPLA,
+++,António Paulo Kassoma,MPLA,
+++,António Sambuquila,MPLA,
+++,António dos Santos França,MPLA,
+++,Aníbal João da Silva Melo,MPLA,
+++,Armando Dala,MPLA,
+++,Armando da Cruz Neto,MPLA,
+++,Augusto Cachitiopololo,MPLA,
+++,Aurora Junjo Cassule,MPLA,
+++,Beatriz Aurora Neves Salucombo,MPLA,
+++,Bento Joaquim Sebastião Francisco Bento,MPLA,
---,Bornito de Sousa,,Q16336949
+++,Bornito de Sousa Baltazar Diogo,MPLA,
+++,Carla Maria Leitão Ribeiro de Sousa,MPLA,
+++,Carlito Roberto,FNLA,
+++,Carlos Alberto Ferreira Pinto,MPLA,
+++,Carlos Francisco Conde,MPLA,
+++,Carlos Magalhães,MPLA,
+++,Carlos de Oliveira Fontoura,UNITA,
+++,Carolina Cerqueira,MPLA,
+++,Carolina Cristina Elias,MPLA,
+++,Cassongo João da Cruz,MPLA,
+++,Catarina Pedro Domingos,MPLA,
+++,Clarisse Matilde Munga Kaputu,UNITA,
+++,Cristóvão Domingos Francisco da Cunha,MPLA,
+++,Cândida Celeste da Silva,MPLA,
+++,Cândida Maria Guilherme Narciso,MPLA,
+++,Daniel António,MPLA,
+++,Delfina Helena Inácio,MPLA,
+++,Demóstenes Amós Chilingutila,UNITA,
+++,Desidério da Graça Mpingue Kalenga Wapota,MPLA,
+++,Diógenes do Espírito Santo Oliveira,MPLA,
+++,Domingos Paulino Dembele,MPLA,
+++,Dumilde das Chagas Simões Rangel,MPLA,
+++,Edite Livila V. L. Manuel,MPLA,
+++,Eduarda Maria Nicolau Silvestre Magalhães,MPLA,
+++,Eduardo Kuangana,PRS,
+++,Elias Satyohamba,MPLA,
+++,Elvira Peregrina de Jesus Van-Dúnem,MPLA,
+++,Emília Carlota Sebastião Celestino Dias,MPLA,
+++,Emílio José Homem Gomes,MPLA,
+++,Ernesto Joaquim Mulato,UNITA,
+++,Ernesto Muangala,MPLA,
+++,Eufrazina Teresa da Costa Lopes Gomes Maiato,MPLA,
+++,Eulália Maria Alves Rocha Silva,MPLA,
+++,Exalgina Reneé Vicente Olavo Gamboa,MPLA,
+++,Faustina Fernandes Inglês de Almeida Alves,MPLA,
+++,Feliciano Lizana Ozar,MPLA,
+++,Felisbina Bento dos Santos,MPLA,
+++,Fernando Faustino Muteka,MPLA,
+++,Fernando Jonasse,PRS,
+++,Fernando José de França Dias Van-Dúnem,MPLA,
+++,Fernando da Piedade Dias dos Santos,MPLA,
+++,Filipe Domingos,MPLA,
+++,Francisca de Fátima do Espírito Santo Carvalho Almeida,MPLA,
---,Francisco Higino Carneiro,Movimento Popular de Libertação de Angola,Q5483447
+++,Francisco Higino Lopes Carneiro,MPLA,
+++,Francisco José Ramos da Cruz,MPLA,
+++,Francisco Magalhães Paiva,MPLA,
+++,Francisco Sozinho Chiuissa,MPLA,
+++,Francisco de Castro Maria,MPLA,
+++,Frederico Manuel dos Santos e Silva Cardoso,MPLA,
+++,Garcia Vieira,MPLA,
+++,Genoveva da Conceição Lino,MPLA,
+++,Guilherme Cango,MPLA,
+++,Guilhermina Contreiras da Costa Prata,MPLA,
+++,Guilhermina Fundanga Manuel,MPLA,
+++,Gustavo Dias Vaz da Conceição,MPLA,
+++,Henrique André Júnior,MPLA,
+++,Inês Baca Cassule Camela,MPLA,
+++,Irene Alexandra da Silva Neto,MPLA,
+++,Isaac Francisco Maria dos Anjos,MPLA,
+++,Isabel Helena da Costa Dala,MPLA,
+++,Isabel João Miguel Sebastião Peliganga,MPLA,
+++,Isabel Nlandu Morena,MPLA,
+++,Isaías Henrique Gola Samakuva,UNITA,
+++,Jeremias Dumbo,MPLA,
+++,Joana Lina Ramos Baptista,MPLA,
+++,Joaquim Wanga,MPLA,
+++,Jorge Inocêncio Dombolo,MPLA,
+++,Josefina Pandeinge Haleinge,MPLA,
+++,José Amaro Tati,MPLA,
+++,José Anibal Lopes Rocha,MPLA,
+++,José Augusto,MPLA,
+++,José Diogo Ventura,MPLA,
+++,José Eduardo dos Santos ,MPLA,
+++,José Francisco Tingão Pedro,MPLA,
+++,José Mangovo Tomé,MPLA,
+++,José Manuel Chiwale,UNITA,
+++,José Miudo,MPLA ,
+++,José Mário Katiti,MPLA,
+++,João Baptista Kussumua,MPLA,
+++,João Baptista Ngandagina,PRS,
+++,João Bernardo de Miranda,MPLA,
+++,João Ernesto dos Santos,MPLA,
+++,João Fernando Mucanda,MPLA,
+++,João Luís Neto,MPLA,
+++,João Manuel Gonçalves Lourenço,MPLA,
+++,João Manuel Pinto,MPLA,
+++,João Marcelino Tchipingue,MPLA,
+++,João Muatonguela,MPLA,
+++,João de Almeida Azevedo Martins,MPLA,
+++,Julião Francisco Teixeira,MPLA,
+++,Julião Mateus Paulo,MPLA,
+++,Júlio Marcelino Vieira Bessa,MPLA,
+++,Júlio Tungo,MPLA,
+++,Kundi Paihama,MPLA,
+++,Leonora Mbimbi de Morais,MPLA,
+++,Lopo Fortunato Ferreira do Nascimento,MPLA,
+++,Lukamba Paulo,UNITA,
+++,Luzia Pereira de Sousa Inglês Van-Dúnem,MPLA,
+++,Luís Reis Paulo Cuanga,MPLA,
+++,Luís Wachihassa Maiajala,PRS,
+++,Lúcia Maria Tomás,MPLA,
+++,Manuel José Nunes Júnior,MPLA,
+++,Manuel Lourenço Rocha da Silva,MPLA,
+++,Manuel Pedro Pacavira,MPLA,
+++,Manuel Pedro de Oliveira,MPLA,
+++,Manuel Savihemba,UNITA,
+++,Marcelina Huna Alexandre,MPLA,
+++,Maria Carolina Manuel Fiel Maria Fortes,MPLA,
+++,Maria Eulália Andrade Camilo,MPLA,
+++,Maria Filomena de Fátima Lobão Telo Delgado,MPLA,
+++,Maria Idalina de Oliveira Valente,MPLA,
+++,Maria Isabel,MPLA ,
+++,Maria José,MPLA,
+++,Maria Madalena da Costa Narciso,MPLA,
+++,Maria Rosa de Lourdes,MPLA,
+++,Maria Sebastião Inácio Jerónimo,MPLA,
+++,Maria da Conceição Wimbo Pinto,MPLA,
+++,Maria de Assunção Vahekeny do Rosário,MPLA,
+++,Maria de Fátima Munhica António,MPLA,
+++,Maria Ângela Teixeira de Alva Sequeira Bragança,MPLA,
+++,Mariana Paulo André Afonso,MPLA,
+++,Marta Beatriz do Carmo Issungo,MPLA,
+++,Mateus Isabel Júnior,MPLA,
+++,Mawete João Baptista,MPLA,
+++,Meneses Clemente Cambinda,MPLA,
+++,Miguel Maria Nzau Puna,MPLA,
+++,Miraldina Olga Marcos Jamba,UNITA,
+++,Monteiro Pinto Kapunga,MPLA,
+++,Mártires Correia Victor,UNITA,
+++,Ngola Kabangu,FNLA,
+++,Nimi A Simb,FNLA,
+++,Norberto Fernandes dos Santos,MPLA,
+++,Nzola P. Mamona,ND,
+++,Palmira Domingos Pascoal Bernardo,MPLA,
+++,Panzo Joaquim,MPLA,
---,Paulo Armindo Lukamba,União Nacional para a Independência Total de Angola,Q15361222
+++,Paulo Gime,MPLA,
+++,Paulo Pombolo,MPLA,
+++,Paulo Teixeira Jorge,MPLA,
+++,Pedrito Cuchiri,PRS,
+++,Pedro Diavova,MPLA,
+++,Pedro Domingos Peterson,MPLA,
+++,Pedro Mutindi,MPLA,
+++,Pedro Sebastião,MPLA,
+++,Quintino António Moreira,ND,
+++,Raul Augusto Lima,MPLA,
+++,Raul José de Barcelos,PRS,
+++,Raul Manuel Danda,UNITA,
+++,Regina Eduardo Txipoia,UNITA,
+++,Roberto António Víctor Francisco de Almeida,MPLA,
+++,Rosa Pedro Afonso Garcia,MPLA,
+++,Rosária Ernesto da Silva,MPLA,
+++,Rui Luís Falcão Pinto de Andrade,MPLA,
+++,Ruth Adriano Mendes,MPLA,
+++,Sabina Napolo,MPLA,
+++,Sabonete Muancopotola,MPLA,
+++,Salomão José Lutheto Xirimbimbi,MPLA,
+++,Sapalo António,PRS,
+++,Sara Luísa Mateus,MPLA,
+++,Serafim Maria do Prado,MPLA,
+++,Serafina Miguel Emília Pinto,MPLA,
+++,Silvestre Gabriel Samy,UNITA,
+++,Simão Geremias Boa Carroba,MPLA,
+++,Simão Pinda,MPLA,
+++,Suzana Pereira Bravo,MPLA,
+++,Sérgio Luther Rescova Joaquim,MPLA,
+++,Sónia Moisés Nele,MPLA,
+++,Teresa de Jesus Cohen dos Santos,MPLA,
+++,Tito Chimona,PRS,
+++,Tomás Simão da Silva,MPLA,
+++,Valeriano Chimo Cassaué,MPLA,
+++,Victória Francisco Correia da Conceição,MPLA,
+++,Victória Francisco Lopes Cristóvão de Barros Neto,MPLA,
+++,Victória Manuel da Silva Izata,MPLA,
+++,Virgílio Ferreira de Fontes Pereira,MPLA,
+++,Víctor Pedro,MPLA,
+++,Welwitchia José dos Santos,MPLA,
+++,Yaba Pedro Alberto ,MPLA,
+++,Ágata Maria Florinda Mbaka Raimundo,MPLA,
+++,Álvaro Manuel de Boavida Neto,MPLA,
