name,partyLabel
Jorge Inocêncio Dombolo,MPLA
Adão Cristóvão Neto,MPLA
Elvira Peregrina de Jesus Van-Dúnem,MPLA
Maria José,MPLA
José Francisco Tingão Pedro,MPLA
Jeremias Dumbo,MPLA
Eduarda Maria Nicolau Silvestre Magalhães,MPLA
Dumilde das Chagas Simões Rangel,MPLA
Filipe Domingos,MPLA
Anabela Trindade Jordão da Silva,MPLA
Joaquim Wanga,MPLA
José Amaro Tati,MPLA
Inês Baca Cassule Camela,MPLA
Sabina Napolo,MPLA
Manuel Savihemba,UNITA
José Anibal Lopes Rocha,MPLA
José Mangovo Tomé,MPLA
Marta Beatriz do Carmo Issungo,MPLA
Afonso Maria Vaba,MPLA
Raul Manuel Danda,UNITA
João Fernando Mucanda,MPLA
Armando Dala,MPLA
Sara Luísa Mateus,MPLA
Meneses Clemente Cambinda,MPLA
Maria Isabel,MPLA
Daniel António,MPLA
Henrique André Júnior,MPLA
Maria Sebastião Inácio Jerónimo,MPLA
Suzana Pereira Bravo,MPLA
Simão Geremias Boa Carroba,MPLA
Serafim Maria do Prado,MPLA
Maria Eulália Andrade Camilo,MPLA
José Augusto,MPLA
Rosária Ernesto da Silva,MPLA
Manuel Pedro de Oliveira,MPLA
Pedro Mutindi,MPLA
Elias Satyohamba,MPLA
Albertina Teresa José,MPLA
Josefina Pandeinge Haleinge,MPLA
José Mário Katiti,MPLA
Paulo Gime,MPLA
Maria da Conceição Wimbo Pinto,MPLA
Agostinho Ndjaka,MPLA
Edite Livila V. L. Manuel,MPLA
Domingos Paulino Dembele,MPLA
João Marcelino Tchipingue,MPLA
Isabel Helena da Costa Dala,MPLA
Alfredo Berner,MPLA
Ágata Maria Florinda Mbaka Raimundo,MPLA
Desidério da Graça Mpingue Kalenga Wapota,MPLA
Bento Joaquim Sebastião Francisco Bento,MPLA
Adriano Mendes de Carvalho,MPLA
Maria Carolina Manuel Fiel Maria Fortes,MPLA
Júlio Marcelino Vieira Bessa,MPLA
Mariana Paulo André Afonso,MPLA
Ernesto Muangala,MPLA
José Miudo,MPLA
Sónia Moisés Nele,MPLA
Guilherme Cango,MPLA
Raul José de Barcelos,PRS
Maria de Fátima Munhica António,MPLA
Cassongo João da Cruz,MPLA
António Sambuquila,MPLA
Fernando Jonasse,PRS
Tito Chimona,PRS
Cristóvão Domingos Francisco da Cunha,MPLA
Felisbina Bento dos Santos,MPLA
Ana Maria Manuel João Taveira,MPLA
Manuel Lourenço Rocha da Silva,MPLA
Monteiro Pinto Kapunga,MPLA
Leonora Mbimbi de Morais,MPLA
Adriana Sofia Cacuassa Bento,MPLA
Valeriano Chimo Cassaué,MPLA
Víctor Pedro,MPLA
Carlos Francisco Conde,MPLA
Álvaro Manuel de Boavida Neto,MPLA
Carolina Cristina Elias,MPLA
João Muatonguela,MPLA
Delfina Helena Inácio,MPLA
Sabonete Muancopotola,MPLA
Pedro Diavova,MPLA
Catarina Pedro Domingos,MPLA
Júlio Tungo,MPLA
Albertina Cungingomoco Muxindo,MPLA
Panzo Joaquim,MPLA
Pedro Sebastião,MPLA
Lúcia Maria Tomás,MPLA
Isabel Nlandu Morena,MPLA
Garcia Vieira,MPLA
Carlito Roberto,FNLA
José Eduardo dos Santos,MPLA
Luzia Pereira de Sousa Inglês Van-Dúnem,MPLA
António Domingos Pitra da Costa Neto,MPLA
Julião Mateus Paulo,MPLA
Joana Lina Ramos Baptista,MPLA
Ana Afonso Dias Lourenço,MPLA
Augusto Cachitiopololo,MPLA
Francisco de Castro Maria,MPLA
Gustavo Dias Vaz da Conceição,MPLA
Ruth Adriano Mendes,MPLA
Ana Paula Inês Luís Ndala Fernando,MPLA
Roberto António Víctor Francisco de Almeida,MPLA
Maria de Assunção Vahekeny do Rosário,MPLA
Fernando da Piedade Dias dos Santos,MPLA
João Manuel Gonçalves Lourenço,MPLA
Cândida Celeste da Silva,MPLA
Alice Paulina Dombolo Chivaca,MPLA
Kundi Paihama,MPLA
Fernando Faustino Muteka,MPLA
Manuel José Nunes Júnior,MPLA
João de Almeida Azevedo Martins,MPLA
Ana Paula Cristóvão de Lemos dos Santos,MPLA
Anabela da Graça Alexandre Leitão,MPLA
Francisco Magalhães Paiva,MPLA
Armando da Cruz Neto,MPLA
João Baptista Kussumua,MPLA
Paulo Teixeira Jorge,MPLA
Palmira Domingos Pascoal Bernardo,MPLA
Marcelina Huna Alexandre,MPLA
Carolina Cerqueira,MPLA
Maria Madalena da Costa Narciso,MPLA
João Bernardo de Miranda,MPLA
Emília Carlota Sebastião Celestino Dias,MPLA
Norberto Fernandes dos Santos,MPLA
Francisco Higino Lopes Carneiro,MPLA
Adélia Maria Pires da Conceição de Carvalho,MPLA
Diógenes do Espírito Santo Oliveira,MPLA
Serafina Miguel Emília Pinto,MPLA
Virgílio Ferreira de Fontes Pereira,MPLA
Paulo Pombolo,MPLA
Carlos Alberto Ferreira Pinto,MPLA
Teresa de Jesus Cohen dos Santos,MPLA
Maria Ângela Teixeira de Alva Sequeira Bragança,MPLA
Frederico Manuel dos Santos e Silva Cardoso,MPLA
Bornito de Sousa Baltazar Diogo,MPLA
Luís Reis Paulo Cuanga,MPLA
Yaba Pedro Alberto,MPLA
Guilhermina Fundanga Manuel,MPLA
Afonso Domingos Pedro Van-Dúnem,MPLA
António dos Santos França,MPLA
Miguel Maria Nzau Puna,MPLA
Feliciano Lizana Ozar,MPLA
Maria Filomena de Fátima Lobão Telo Delgado,MPLA
Irene Alexandra da Silva Neto,MPLA
Francisco José Ramos da Cruz,MPLA
Aníbal João da Silva Melo,MPLA
João Manuel Pinto,MPLA
Mawete João Baptista,MPLA
João Ernesto dos Santos,MPLA
Rosa Pedro Afonso Garcia,MPLA
Carla Maria Leitão Ribeiro de Sousa,MPLA
Anabela Manuel dos Santos Alberto,MPLA
José Diogo Ventura,MPLA
Sérgio Luther Rescova Joaquim,MPLA
Ana Maravilha Borges Alé Fernandes,MPLA
Isabel João Miguel Sebastião Peliganga,MPLA
Lopo Fortunato Ferreira do Nascimento,MPLA
Julião Francisco Teixeira,MPLA
Raul Augusto Lima,MPLA
Francisco Sozinho Chiuissa,MPLA
Cândida Maria Guilherme Narciso,MPLA
Fernando José de França Dias Van-Dúnem,MPLA
Exalgina Reneé Vicente Olavo Gamboa,MPLA
Simão Pinda,MPLA
Manuel Pedro Pacavira,MPLA
Salomão José Lutheto Xirimbimbi,MPLA
António Paulo Kassoma,MPLA
Adriano Botelho de Vasconcelos,MPLA
Francisca de Fátima do Espírito Santo Carvalho Almeida,MPLA
Ana Maria da Silva Sousa e Silva,MPLA
Victória Francisco Lopes Cristóvão de Barros Neto,MPLA
Ana Maria de Oliveira,MPLA
Maria Idalina de Oliveira Valente,MPLA
Alfredo Furtado de Azevedo Júnior,MPLA
Emílio José Homem Gomes,MPLA
Isaac Francisco Maria dos Anjos,MPLA
Rui Luís Falcão Pinto de Andrade,MPLA
Pedro Domingos Peterson,MPLA
António Francisco Cortez,MPLA
Carlos Magalhães,MPLA
Guilhermina Contreiras da Costa Prata,MPLA
Eufrazina Teresa da Costa Lopes Gomes Maiato,MPLA
Aurora Junjo Cassule,MPLA
Eulália Maria Alves Rocha Silva,MPLA
Welwitchia José dos Santos,MPLA
Genoveva da Conceição Lino,MPLA
Amaro Cacoma da Silva,MPLA
António Daniel Ventura de Azevedo,MPLA
Tomás Simão da Silva,MPLA
Mateus Isabel Júnior,MPLA
João Luís Neto,MPLA
Victória Manuel da Silva Izata,MPLA
Adelino Marques de Almeida,MPLA
Faustina Fernandes Inglês de Almeida Alves,MPLA
Victória Francisco Correia da Conceição,MPLA
Beatriz Aurora Neves Salucombo,MPLA
Maria Rosa de Lourdes,MPLA
Isaías Henrique Gola Samakuva,UNITA
Ernesto Joaquim Mulato,UNITA
Abílio José Augusto Kamalata Numa,UNITA
Miraldina Olga Marcos Jamba,UNITA
Lukamba Paulo,UNITA
Mártires Correia Victor,UNITA
Silvestre Gabriel Samy,UNITA
Clarisse Matilde Munga Kaputu,UNITA
Regina Eduardo Txipoia,UNITA
Demóstenes Amós Chilingutila,UNITA
Carlos de Oliveira Fontoura,UNITA
Alda Juliana Paulo Sachiambo,UNITA
José Manuel Chiwale,UNITA
Almerindo Jaka Jamba,UNITA
Eduardo Kuangana,PRS
João Baptista Ngandagina,PRS
Luís Wachihassa Maiajala,PRS
Sapalo António,PRS
Pedrito Cuchiri,PRS
Quintino António Moreira,ND
Nzola P. Mamona,ND
Ngola Kabangu,FNLA
Nimi A Simb,FNLA
